Price,Close,High,Low,Open,Volume
Ticker,VUG,VUG,VUG,VUG,VUG
Date,,,,,
26/3/21,249.1800537109375,249.43409435125022,244.88080463529138,245.53545986596754,692700
29/3/21,248.91622924804688,249.6783660683046,246.7275198433234,248.77943584208685,924300
30/3/21,247.7045898,248.23223213805957,246.07283480275788,247.73390164794927,750800
31/3/21,251.1537628173828,252.4826043,248.99436551117546,248.99436551117546,757900
1/4/21,255.39442443847656,255.41395570539237,253.68449929340773,253.8505896090124,959200
5/4/21,259.8890686035156,260.4166811337668,257.18248252089785,257.4072262555256,1034800
6/4/21,260.2114562988281,261.5207665076606,259.4004765509492,260.0746778268084,794600
7/4/21,261.0029602050781,261.5403831230321,259.65455736704456,260.21151155122834,636500
8/4/21,263.9537658691406,263.9537658691406,262.7617028680757,262.8984813403444,672500
9/4/21,265.9079895019531,266.02523672266267,262.76172653177906,263.17209180426244,698200
12/4/21,265.9079895019531,266.2499506227814,264.2175958867948,265.30216249708144,687600
13/4/21,268.7024841308594,269.0737868799269,266.7482842462713,266.7482842462713,877500
14/4/21,265.8591613769531,269.15198392742747,265.46832730254204,268.9272699894736,900000
15/4/21,270.0606689453125,270.2169787,268.07712742486365,268.16509266066225,1125100
16/4/21,270.1388244628906,270.6566862438212,268.8197335661886,270.6566862438212,902700
19/4/21,267.8817138671875,269.91406855188455,266.5626230300476,269.1128692910144,870300
20/4/21,266.0545654296875,268.4875348701417,264.5205112842614,267.50065433526976,981500
21/4/21,268.1748352050781,268.2139275510493,264.66705007691957,265.27284725521946,658500
22/4/21,265.7907715,269.2594949004931,264.75504771314866,268.1748982,807200
23/4/21,269.7967834472656,270.5198277,266.5137425363864,266.5137425363864,1473100
26/4/21,271.09637451171875,271.4383356,269.40598097910276,270.1192746285534,653700
27/4/21,270.5296325683594,271.7314761269059,269.8065882163525,271.7314761269059,707500
28/4/21,269.9239196777344,271.30163448402044,269.5721779325025,270.4417815707017,608400
29/4/21,270.6175537109375,272.4642866558327,268.04777645215256,272.3763512516072,697300
30/4/21,268.5168151855469,270.2462712354973,268.0868888535724,268.79040195873773,630900
3/5/21,266.9730529785156,269.8945725376792,266.8167133948554,269.82616837881665,835100
4/5/21,262.9669494628906,265.43901147405967,259.8890902,265.28267188291625,1227500
5/5/21,261.57940673828125,264.71591889705576,261.07132552335383,264.71591889705576,393000
6/5/21,262.6640319824219,262.75196740512087,259.1855583,261.4915000423167,800800
7/5/21,264.8722229003906,266.4258379532933,264.16870979258033,264.8429110966786,833500
10/5/21,259.3125915527344,263.9733479660903,259.24418739406667,263.86585145693726,908600
11/5/21,258.5601806640625,259.13666604888226,254.07529552963865,254.53453369296608,1371100
